target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,c2_err,f_apcorr,f_apcorr_err,apcorr_mag,apcorr_mag_err,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_bkg_6_coi,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_coi_err,count_rate_final,count_rate_final_err,count_rate_final_apcorr,count_rate_final_apcorr_err,v_mag_1,v_mag_1_corrected,mlim_obs
Deflotte,0744500301,L,P0744500301OMS401SIMAGE2000.FTZ,19.48349548625823,0.10416313126921344,19.48349548625823,0.10416313126921344,0.3391645926773646,0.03059045446649608,1492.3242077804043,134.59799965258276,13379.679363206029,22.717672961324617,3.680622315650987,11887.355155425625,68.82544694566569,523.2646484375,783.0458984375,18.5662,13.0,6.0,0.0,1.12527227401733,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0476405601917886,2.7016716262330966,2.787482010805484,3.0408362189104614,3.142804594675218,0.35532258386973403,0.03207424840459394,0.4296173436354163,0.04121654597492083,0.4296173436354163,0.04121654597492083,16.55,18.0342,20.455608
Deflotte,0744500301,L,P0744500301OMS007SIMAGE2000.FTZ,19.322535296475774,0.09757127274493914,19.322535296475774,0.09757127274493914,0.392724566712469,0.03288345614569511,1429.5174228333872,119.6957803703302,11390.53693421185,21.297072886860327,3.1341119694636106,9961.019511378463,54.18987824539259,467.7177734375,731.74609375,18.5662,13.0,6.0,0.0,1.12527596950531,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.049342812197402,2.73654382180727,2.846336711767903,3.1292683885197388,3.2584394130209713,0.41210270125306847,0.0345287665062024,0.498271309761707,0.0447778887922456,0.498271309761707,0.0447778887922456,16.55,18.0342,20.455608
Solvejg,0611181301,L,P0611181301OMS006FSIMAGL000.FTZ,19.739190387233933,0.10359560366873805,19.739190387233933,0.10359560366873805,0.27764385261538393,0.024875543503412118,501.4247978233834,44.925231567162285,1859.9066772176884,10.094666660617749,1.9260416962350384,1358.481879394305,12.584504525227285,134.57421875,424.2119140625,18.5662,13.0,6.0,0.0,1.1089733839035,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0261084982571318,0.752204805866171,0.7674420134957246,1.029848658481555,1.0523347301532207,0.28489271665749605,0.025558360455323156,0.3394719109440503,0.03239074465876509,0.3394719109440503,0.03239074465876509,16.23,17.7142,19.626968
Solvejg,0611181501,L,P0611181501OMS007FSIMAGL000.FTZ,19.2917726842147,0.0576723115018637,19.2917726842147,0.0576723115018637,0.4058578707132043,0.016767548160868354,2029.2893535660214,83.83774080434176,6136.771340452135,35.82035202026367,5.285571551131071,4107.481986886113,29.86629275159299,114.6689453125,411.8251953125,18.5662,8.0,5.999999999999999,0.0,1.10899555683136,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0254246453482456,0.007528512467808133,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Solvejg_P0611181501OMS007FSIMAGL000.csv,1.033622657666912,1.334931645737987,1.3664032033890883,1.7511083088758685,1.7965728320006127,0.4301696286115244,0.018076256728060344,0.5125909406078627,0.027227893705071924,0.5125909406078627,0.027227893705071924,16.24,17.7242,20.580872
Solvejg,0611181501,L,P0611181501OMS006FSIMAGL000.FTZ,19.21343303737702,0.06017211208536027,19.21343303737702,0.06017211208536027,0.4163116879056014,0.015229765232428687,2081.558439528007,76.14882616214344,5355.296462085098,34.98437468142785,4.5179457504090665,3273.738022557091,21.0558130640268,93.5771484375,403.16015625,18.5662,6.0,6.000000000000001,0.0,1.10899353027344,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0732786678979664,0.027767689177525486,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Solvejg_P0611181501OMS006FSIMAGL000.csv,1.0347734936752675,1.4186198097747393,1.4527438422892802,1.8654382636004172,1.915099734793058,0.46235589250377784,0.020758098683475938,0.5509431465691438,0.030533585298838383,0.5509431465691438,0.030533585298838383,16.24,17.7242,20.580872
Tampere,0740920301,L,P0740920301OMS406SIMAGE1000.FTZ,20.782123878236366,0.30820110223064334,20.782123878236366,0.30820110223064334,0.10400761588008879,0.02932194098110212,104.00761588008879,29.32194098110212,757.3026429777965,3.6359857367534265,1.2159766982180389,653.2950270977077,10.122923486890505,179.6748046875,465.814453125,18.5662,13.0,6.000000000000001,0.0,1.12742865085602,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0310384572229518,0.6532950270977077,0.6718218787369783,0.7573026429777965,0.7790577305534224,0.10723585181644413,0.030240296731687853,0.1299063704016608,0.03687571061894796,0.1299063704016608,0.03687571061894796,17.28,18.7642,19.431232
Wells,0405950101,L,P0405950101OMS401SIMAGE1000.FTZ,19.559028413991633,0.09381254667278588,19.559028413991633,0.09381254667278588,0.34106040474265237,0.02726754186223703,484.3057747345664,38.71990944437658,1373.5361203907523,4.870566417150392,1.3292276598623118,889.2303456561859,11.211390056097896,182.572265625,468.54296875,18.5662,13.0,6.000000000000001,0.0,1.06582033634186,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.026010849292011,0.6262185532790041,0.6394306860821436,0.9672789580216565,0.9893623616120294,0.3499316755298858,0.028016379591793622,0.4007454816130045,0.03462623897312794,0.4007454816130045,0.03462623897312794,16.55,18.0342,19.766872
Brouwer,0801681301,L,P0801681301OMS006FSIMAGL000.FTZ,18.53823540462241,0.05798843545763272,18.53823540462241,0.05798843545763272,0.770254138536222,0.03246344506885585,2926.9657264376438,123.36109126165223,13219.11699209921,31.614011146886178,3.5970643547640577,10292.151265661567,44.70840911021638,325.556640625,686.07421875,18.5662,9.0,6.0,0.0,1.14337038993835,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0165336811638483,0.0032447205445795576,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Brouwer_P0801681301OMS006FSIMAGL000.csv,1.0666985585246258,3.912221241333344,4.063259511147324,4.695210516211259,4.8984730419998375,0.8352135308525135,0.03540360103091735,1.0260909049907536,0.05480283072286473,1.0260909049907536,0.05480283072286473,16.59,18.0742,20.203415
Brouwer,0801681301,L,P0801681301OMS007FSIMAGL000.FTZ,19.242201951183656,0.09205131693265468,19.242201951183656,0.09205131693265468,0.4035982300767199,0.031487229075483805,1533.6732742915356,119.65147048683845,12056.892187651247,31.74069694097788,3.777244569067124,10523.218913359711,47.53506286954427,331.537109375,694.04296875,18.5662,9.0,6.0,0.0,1.14337158203125,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0155895707138893,0.005526719108798871,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Brouwer_P0801681301OMS007FSIMAGL000.csv,1.0654742656015466,4.00005397291451,4.156574033085583,4.4099441261390115,4.593301443069764,0.43672740998418114,0.034199690823859236,0.5365364353058377,0.045488853139487355,0.5365364353058377,0.045488853139487355,16.59,18.0742,20.203415
Pobeda,0305540501,L,P0305540501OMS008FSIMAGL000.FTZ,19.895842713285322,0.11166050544765178,19.895842713285322,0.11166050544765178,0.22039682149732395,0.020524921187221486,661.1904644919719,61.57476356166446,3463.757125703618,20.404620544350536,3.044594962518677,2802.566661211646,18.10233084360309,137.349609375,533.6357421875,18.5662,5.0,5.999999999999998,0.0,1.05527579784393,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.1247487978885244,0.03242771746883795,/Users/eracero/workspace/tfm-viu/results/batch_L/elena/c1corr/c1_details_Pobeda_P0305540501OMS008FSIMAGL000.csv,1.0454775139326302,2.4288911063834266,2.5014765990594223,2.6767821664209936,2.760641128233622,0.25916452917419974,0.02528807920679314,0.29386165128824665,0.030221656567091092,0.29386165128824665,0.030221656567091092,16.38,17.8642,21.516909
Pobeda,0305540501,L,P0305540501OMS022FSIMAGL000.FTZ,20.388966762423344,0.22624336271454468,20.388966762423344,0.22624336271454468,0.15737160513240117,0.03237182883580431,472.11481539720353,97.11548650741294,7940.522135728039,21.908326565978015,2.8081855811424408,7468.407320330835,38.6121170598488,340.8935546875,614.669921875,18.5662,13.0,5.999999999999998,0.0,1.05529880523682,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0456590449556848,2.489469106776945,2.564742192815099,2.6468407119093462,2.7292992351409886,0.16455704232588975,0.0338706138437693,0.18659211827659827,0.03888166948035954,0.18659211827659827,0.03888166948035954,16.38,17.8642,21.516909
Pobeda,0305540501,L,P0305540501OMS021FSIMAGL000.FTZ,20.37200915024798,0.23663944565766473,20.37200915024798,0.23663944565766473,0.15944396873470396,0.03434350857128218,478.3319062041119,103.03052571384654,8612.804939341731,21.290295534073167,2.9922077741689805,8134.4730331376195,44.749126131466106,382.07421875,652.6943359375,18.5662,13.0,6.0,0.0,1.05529725551605,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0483156268004516,2.711491011045873,2.7969867564732454,2.870934979780577,2.964134360496918,0.1671476040236728,0.036023222850421754,0.1895292918381389,0.04130848250078007,0.1895292918381389,0.04130848250078007,16.38,17.8642,21.516909
Pobeda,0305540501,L,P0305540501OMS018FSIMAGL000.FTZ,19.74422251097667,0.13007243753636508,19.74422251097667,0.13007243753636508,0.285196574533769,0.032852388913510104,855.589723601307,98.55716674053032,7938.929837723263,20.62160511993655,3.046468542293682,7083.340114121956,42.12582673607052,343.4912109375,617.060546875,18.5662,13.0,6.0,0.0,1.05529236793518,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.044894679435709,2.361113371373985,2.4307433567907704,2.646309945907754,2.7287437401143952,0.2980003833236249,0.03436263941413512,0.3379021815122076,0.04048107495574257,0.3379021815122076,0.04048107495574257,16.38,17.8642,21.516909
Pobeda,0305540501,L,P0305540501OMS012FSIMAGL000.FTZ,20.322100996013948,0.21266289639033714,20.322100996013948,0.21266289639033714,0.1675367291249989,0.03234117516706648,502.6101873749967,97.02352550119944,7693.854289785959,19.94689185764041,2.893505403882463,7191.244102410962,41.46938884160146,360.51953125,632.77734375,18.5662,13.0,6.000000000000002,0.0,1.05528223514557,1.0744875201,0.0349126848,1.0,0.0,0.0,0.0,1.0,0.0,,1.0446229585354618,2.397081367470321,2.468272999367559,2.5646180965953196,2.64328571300947,0.17501271364191062,0.033804747981080754,0.1984447444140606,0.03886933298751658,0.1984447444140606,0.03886933298751658,16.38,17.8642,21.516909
