A_ap_eff_35,A_ap_eff_6,A_bg_eff_35,A_bg_eff_6,aper_sum_35,aper_sum_6,band,bkg_per_pix_35,bkg_per_pix_6,bkg_rms_per_pix_35,bkg_rms_per_pix_6,c2,err35,err6,exptime_35,exptime_6,ftz,rate35,rate6,slot,snr35,snr6,theta_rad,unit_kind_35,unit_kind_6,width_pix,x,y
2190.0,390.0,2460.0,660.0,77546.72042755038,39148.101314887404,UVW1,20.27560879105656,22.127620765856246,2.9983789397819205,3.4827727261939603,1.086007590400441,0.0700776097296732,0.04654568046702862,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,7.532531176167388,6.935983912773516,12,107.48841470513032,149.0145560915525,0.0,counts,counts,30.0,518.6558922775876,381.63004053501186
2190.0,390.0,2460.0,660.0,46063.27453008294,9731.808584421873,UVW1,20.045432642085654,19.69520260451676,2.9466933352359694,3.047361746614287,1.0551512176663016,0.057041357588042976,0.024763243402413513,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.49176750998076385,0.46606353833189484,13,8.62124484365092,18.82077927992545,0.0,counts,counts,30.0,334.91625675867067,383.3736154599303
2190.0,390.0,2392.6083984375,660.0,43186.28001944255,8523.961566787213,UVW1,19.223147847260428,19.172201050790733,2.8168985468118986,2.7117393891531023,1.0389596426906975,0.05524747490723366,0.02297435699852352,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.24717868953232194,0.23790980840427892,14,4.474026911589372,10.355450140326823,0.0,counts,counts,30.0,486.34983991938475,456.08822870008737
2190.0,390.0,2341.8193359375,660.0,45958.664305767976,10059.640449114144,UVW1,19.98883583946499,20.20475948059481,3.1476858475230234,3.228013314445263,1.0015274748658767,0.0584980422869985,0.02537018583464251,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.49616223121355607,0.4954055117459474,15,8.48168950303198,19.52707461328409,0.0,counts,counts,30.0,143.15511942031705,126.67185337277343
1898.0,338.0,2380.0,612.0,99133.20238360763,69544.58307246864,UVW1,16.934547760086176,21.16990479143151,3.0202089099178644,3.8349621544442067,1.0737672350801795,0.07468117840095215,0.05974843297843495,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,14.88698460776979,13.864256722881064,1,199.34051559609549,232.0438550729038,0.0,counts,counts,26.0,465.63579897216607,736.3020056098844
1898.0,338.0,2380.0,612.0,45041.06716814637,19923.5969209373,UVW1,16.134258017346667,16.61850590791021,2.7250491405940798,2.772433661869927,1.007807863546037,0.05271915380973242,0.03247672645264683,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,3.204054544716088,3.1792315386808108,2,60.77590995257195,97.89261067664367,0.0,counts,counts,26.0,541.510627144344,969.5899195013433
1855.4140625,338.0,1891.8359375,612.0,84996.62501571327,57828.44303867221,UVW1,16.674943544229485,19.107267424117687,2.882657479738032,3.2219477476931244,1.0523166022615849,0.07031420027200949,0.05432698791179372,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,12.012822282745844,11.415597033182317,3,170.84489671040004,210.12755302607403,0.0,counts,counts,26.0,962.6614181227342,1067.7441895147144
1898.0,338.0,2380.0,612.0,34328.01659627259,8300.042558662593,UVW1,16.381405332173227,16.95057084540132,2.5712266569975357,2.762595691107861,1.258819318516164,0.04679075501642424,0.021914221436212064,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,0.7191353946239566,0.5712776917593217,4,15.369176974629488,26.068810768486454,0.0,counts,counts,26.0,762.2926208183682,544.6294373715721
1898.0,338.0,2380.0,612.0,49284.34455895424,23572.590152949095,UVW1,15.957252063849188,16.873203738851828,2.586263823201895,2.686457980056653,1.0631263426503397,0.0541641554845586,0.03508002927998278,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,4.221662253726329,3.9709882864927057,5,77.94199348183066,113.19797525820809,0.0,counts,counts,26.0,1035.339783993298,816.9953923281631
1898.0,338.0,2380.0,612.0,32808.673903474584,8082.9065250605345,UVW1,15.942224833527314,16.159982892143912,2.5702196264617836,2.684372385825235,0.9730997142114087,0.04597780420621089,0.021577361908375874,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,0.5667402598754981,0.582407179447976,6,12.326388127055017,26.991584139018308,0.0,counts,counts,26.0,210.92090784057115,1022.5706130499411
1898.0,338.0,2380.0,612.0,301659.2510764301,250023.46104112267,UVW1,23.08531965317074,40.64354949229929,7.209361422999055,9.11400470300513,1.0912342602451122,0.13704630811037405,0.1145101183458302,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,57.29851430549156,52.50798695838345,7,418.09600780594985,458.5445174356113,0.0,counts,counts,26.0,597.0591664907824,488.58613625402074
1898.0,338.0,2380.0,612.0,35808.64234079793,10364.977405570447,UVW1,16.188069768565935,16.655730489636145,2.625883568288608,2.7055578455086455,1.0735629085133276,0.0477883290714179,0.024069275864850963,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,1.129707982235508,1.0522978889052066,8,23.6398301465448,43.7195491386555,0.0,counts,counts,26.0,786.617821854352,629.0310946449497
1898.0,338.0,2380.0,612.0,37500.04984359443,11883.351240672171,UVW1,16.247975768514983,16.41702398023081,2.6434735158443057,2.6856853626701143,1.0516220711476678,0.04872554532566095,0.025560200040823242,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,1.4803092966562206,1.4076438078564795,9,30.380558837514467,55.07170544863788,0.0,counts,counts,26.0,841.8992495125822,600.3656634761556
1898.0,338.0,2380.0,612.0,41247.253038063645,15883.846134781837,UVW1,15.838660809775309,16.81246834498753,2.550858459447766,2.736248795555177,1.09648275844851,0.050232134387823285,0.02921311994367725,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,2.4856610713578022,2.2669404075946784,10,49.48348505693496,77.60007873056107,0.0,counts,counts,26.0,789.8939318533457,1024.4939093744783
1898.0,338.0,2380.0,612.0,40187.024970899336,15425.276638656855,UVW1,15.712631017164616,16.28264316887042,2.516546559303735,2.5956701863053104,1.044619986800231,0.04957735421480972,0.028702809287346996,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,2.30321140007131,2.2048318327952563,11,46.456924467810666,76.81588971735975,0.0,counts,counts,26.0,459.91805062958275,1109.204915273185
1898.0,338.0,2380.0,612.0,40101.98777227849,14647.894277706742,UVW1,15.91895959192902,16.694980274791448,2.5844470771802737,2.742781440818701,1.0980358034093403,0.04979562092595719,0.02815495815027568,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,2.1972894370660456,2.0011090988504963,12,44.12615800761417,71.07483833467897,0.0,counts,counts,26.0,383.873435912026,249.1792967047748
1898.0,338.0,2380.0,612.0,34212.39187363163,9282.244265712798,UVW1,16.06577684104077,16.22114386107925,2.656044351509844,2.5783279906062266,0.9789576889123401,0.04708295707535799,0.022796150592983587,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,0.8265660954080546,0.8443328090373359,13,17.555526388988383,37.038394074182534,0.0,counts,counts,26.0,435.215745506177,163.36621861745385
1898.0,338.0,2380.0,612.0,32962.22452134639,8073.948123091832,UVW1,15.782521742667111,15.81427288726077,2.652380328470805,2.604279990741597,1.1019796718429804,0.04640705070758379,0.021476391841372976,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,0.6682218341698253,0.6063830860439314,14,14.399144612321274,28.234867873651428,0.0,counts,counts,26.0,490.1949367625133,441.46508674081383
1898.0,338.0,2380.0,612.0,34335.477482013404,9725.609716239385,UVW1,15.656550248402745,15.934055095338552,2.6105342763206933,2.5325699703873124,1.0643899801530903,0.046957084094259326,0.023225055605428233,4500.0,4500.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0781040101OMS008FSIMAGL000.FTZ,1.026521135676665,0.9644220208922123,15,21.860836452622937,41.525068326071285,0.0,counts,counts,26.0,321.2039488836329,936.9585487548757
