"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0677610132";Tijn;33.025536;-4.077904;33.06729;-3.9389703;L;4;18.88;20.3642;19.820427
"0600450901";Hilliard;74.14855;22.715166;74.2996;22.717388;L;2;18.1;19.5842;19.603882
"0206060201";Vanavara;144.86998;14.974762;144.96599;14.948397;L;2;18.53;20.0142;20.194166
"0505460201";Kaifu;333.27814;-17.793358;333.38565;-17.759901;L;4;18.56;20.0442;20.822746
"0727571501";Lomberg;58.48386;-0.17843609;58.72201;-0.27030504;L;2;18.28;19.7642;20.217653
"0674601001";Lehmbruck;266.51685;-28.887419;266.5761;-28.900345;L;2;19.46;20.9442;20.031595
"0747390133";Parler;16.833363;-0.37462756;16.847107;-0.3693347;L;2;18.45;19.9342;20.230965
"0747400143";Parler;18.632523;0.13034242;18.643545;0.13309434;L;2;18.31;19.7942;20.265831
"0600450401";Takatsuguyoshida;128.86101;14.1144705;128.90446;14.101141;L;2;19.15;20.6342;19.43407
"0723800701";"1981 FT";181.07764;1.7639948;181.45999;1.5569856;L;4;18.35;19.8342;20.147335
"0694640801";Tennyo;266.88947;-27.838116;267.08127;-27.831554;L;2;18.82;20.3042;19.878683
"0744490401";Gurzhij;338.88007;-12.779612;339.32846;-12.523151;L;2;18.26;19.7442;20.221659
"0670120401";Chrisclark;343.588;-17.584646;343.6382;-17.397612;L;2;18.13;19.6142;20.369955
"0670120301";Chrisclark;343.52396;-17.824842;343.55606;-17.647392;L;2;18.11;19.5942;20.372236
"0132122001";Goff;150.22014;25.272312;150.30414;25.273525;L;2;17.87;19.3542;20.338375
"0804590701";"1988 ED1";272.50766;-19.764235;272.55173;-19.768795;L;2;17.93;19.4142;19.903265
"0675472601";"1988 XD1";8.701085;-2.0686026;8.745882;-2.0639977;L;2;18.53;20.0142;20.041077
"0106660601";"1994 UF2";333.67758;-17.729109;333.97568;-17.536524;L;3;18.14;19.6242;20.816488
"0206340101";Onioshidashi;133.22516;16.150879;133.34258;16.099432;L;2;19.12;20.6042;20.041828
"0653450601";Onioshidashi;161.31847;4.3298044;161.43167;4.3083267;L;2;18.7;20.1842;21.295784
"0112201501";Feuerbach;269.42572;-24.261013;269.44055;-24.261581;L;2;18.16;19.6442;19.227154
"0654910901";Robertstirling;146.4313;-14.28032;146.60385;-14.421533;L;2;18.27;19.7542;20.98685
"0803161501";Kwiatkowski;307.9251;-21.2521;308.02463;-21.225006;L;2;18.62;20.1042;19.480915
"0741300601";Ebicykl;21.28964;2.13275;21.492746;2.175179;L;4;19.04;20.5242;19.825579
"0109970101";Ianlyon;189.7049;-5.368829;189.75955;-5.4019604;L;2;19.2;20.6842;19.856268
"0760646601";"1991 CS";256.18265;-47.787766;255.81529;-49.09465;L;3;16.9;18.3842;20.476788
"0501580201";"1981 EN";262.20425;-14.222909;262.46155;-14.302798;L;2;19.19;20.6742;20.696383
"0201902401";Richardbaum;312.04135;-17.95731;312.1351;-17.939861;L;2;17.67;19.1542;19.90227
"0675472401";Buczynski;334.16187;-9.295323;334.18317;-9.287138;L;2;19.75;21.2342;19.813147
"0503490201";Naruke;340.5789;-9.6971855;340.80582;-9.601553;L;2;18.81;20.2942;21.154972
"0206060101";"1993 UB3";358.62137;5.807186;358.73996;5.87392;L;2;18.1;19.5842;20.310284
"0611181701";Nobeoka;83.62361;21.91363;83.69924;21.90966;L;2;18.69;20.1742;19.753496
"0149180901";Matisse;267.30072;-20.3577;267.36688;-20.35369;L;2;18.93;20.4142;19.847902
"0744490401";"1986 TX3";339.2398;-12.453829;339.78464;-12.192947;L;2;18.88;20.3642;20.221659
"0412592401";"1996 UT";83.690285;21.889324;83.71287;21.897413;L;2;17.96;19.4442;20.054035
"0412592501";"1996 UT";83.76607;21.908499;83.77202;21.908983;L;2;17.97;19.4542;19.299034
"0692330401";Ivanka;112.18933;33.894558;112.34965;33.930218;L;2;17.66;19.1442;20.75167
"0801683601";Fontane;268.10144;-29.664751;268.20343;-29.663027;L;2;18.96;20.4442;20.166998
"0202680101";Sadakane;263.40793;-26.113657;263.86526;-26.150688;L;2;20.37;21.8542;20.990826
"0728980201";Olausgutho;151.68561;12.850109;151.87369;12.78802;L;2;19.61;21.0942;20.190025
"0112550601";Mizutani;187.48732;7.927202;187.49948;7.9126673;L;2;19.49;20.9742;19.956545
"0803031701";Coudenberghe;263.817;-21.07116;263.85507;-21.068913;L;2;18.87;20.3542;20.373867
"0109520201";Achristou;36.687607;-4.928713;36.787643;-4.892294;L;4;19.91;21.3942;20.495726
"0551750301";"1998 HU144";175.37543;2.411086;175.45065;2.3871083;L;2;20.22;21.7042;19.738302
"0800400101";"1988 TG5";179.34525;-0.57585907;179.38391;-0.59303665;L;2;19.54;21.0242;19.751394
"0677181701";"1993 FC22";195.30058;-6.8388705;195.34636;-6.858453;L;2;19.87;21.3542;19.520643
"0161160101";Angelalouise;64.01825;1.1280147;64.2716;1.0285294;L;2;17.52;19.0042;20.722527
"0305970101";Amandasickafoose;271.1018;-27.759047;271.54745;-27.69044;L;3;19.43;20.9142;20.266512
"0505150301";Scottbirney;257.6318;-23.318727;257.72296;-23.328564;L;2;18.51;19.9942;20.233139
"0743950401";"1988 RQ5";146.45583;9.835063;146.56332;9.789762;L;2;18.75;20.2342;20.214495
"0693990301";Vischer;169.6911;6.901255;169.85191;6.8216643;L;4;20.45;21.9342;21.13498
"0412590201";Wainscoat;83.63657;21.93177;83.64195;21.930925;L;2;20.46;21.9442;20.00685
"0405860101";Van Lierde;351.82742;-2.1146686;351.87097;-2.0870235;L;2;18.22;19.7042;21.103668
"0402070201";Ashikaga;17.785763;2.6327608;17.899069;2.6803663;L;4;18.44;19.9242;20.012833
"0801681001";Donizetti;267.22693;-30.0807;267.3153;-30.063587;L;2;17.68;19.1642;20.259472
"0653840401";Grotius;24.866716;6.2479367;24.930931;6.264997;L;4;18.23;19.7142;20.055807
"0723260101";Ukichiro;115.62957;25.375751;115.699066;25.33251;L;2;18.61;20.0942;20.19195
"0740920201";"1998 VW34";190.00467;-5.2815495;190.0631;-5.306633;L;2;19.34;20.8242;19.419401
"0723800701";"1990 QC3";180.89642;1.8885479;181.14238;1.7743006;L;2;20.47;21.9542;20.147335
"0742570101";"1990 QT9";130.41615;19.432549;130.51274;19.403906;L;2;18.65;20.1342;20.231937
"0803760401";"1998 XB4";213.44196;-20.099283;213.48775;-20.100616;L;4;17.74;19.2242;19.364752
"0203170301";"1998 YB12";187.92491;0.30781987;188.23128;0.18907033;L;2;18.09;19.5742;20.354403
"0801830101";Vladichaika;245.42366;-23.07612;245.59413;-23.13193;L;2;19.63;21.1142;19.56996
"0761950101";Hachigoroh;168.60138;12.808799;168.62717;12.791951;L;2;19.11;20.5942;19.822575
"0671540301";Ruckers;146.40709;9.981195;146.52405;9.939878;L;4;18.89;20.3742;20.135471
"0673002347";"1998 BM15";351.56006;-0.9787655;351.9289;-0.79567975;L;2;18.78;20.2642;19.929981
"0673002348";"1998 BM15";351.56006;-0.9787655;351.9289;-0.79567975;L;3;18.78;20.2642;19.928883
"0672720101";Peterwisse;122.04476;20.886232;122.22666;20.854963;L;2;19.22;20.7042;20.64862
"0724030101";Haghighipour;145.78262;9.45858;145.91457;9.376715;L;2;18.54;20.0242;20.21107
"0821871101";Zangari;21.057701;9.59808;21.13127;9.624564;L;2;19.67;21.1542;20.476728
"0306700101";"1981 RQ1";266.45782;-21.429548;266.49527;-21.434244;L;2;18.62;20.1042;19.930325
"0744490501";"1990 SF3";338.75604;-12.678126;339.02414;-12.574529;L;4;18.4;19.8842;19.682575
"0748190101";Sakaguchi;29.18564;5.722863;29.431702;5.8403807;L;2;17.97;19.4542;20.765934
"0803953001";"1996 TG7";128.74173;21.414082;128.78851;21.399263;L;2;19.91;21.3942;20.12294
"0748190101";Wubbena;28.992863;5.590003;29.11837;5.6450605;L;2;18.81;20.2942;20.765934
"0083000301";Govert;170.57037;5.6782594;170.67413;5.6551113;L;4;18.79;20.2742;19.421833
"0811022901";"1992 WH2";83.33436;22.133007;83.50088;22.096497;L;2;18.22;19.7042;20.936459
"0824850201";Havana;67.38973;22.795477;67.449036;22.804644;L;2;19.53;21.0142;20.41662
"0148880101";Pesonen;143.07808;-11.071041;143.15459;-11.05193;L;2;18.93;20.4142;21.114185
"0744420101";"1988 RK";276.50055;-12.987444;277.10837;-13.1154175;L;2;18.46;19.9442;20.759808
"0601950101";Gemmafrisius;282.03027;-23.786726;282.35474;-23.767084;L;2;19.02;20.5042;20.562449
"0038540401";Aarongolden;160.00085;9.262836;160.05289;9.235589;L;4;19.43;20.9142;19.384
"0402750301";Kazo;35.189392;19.843588;35.319942;19.906958;L;2;18.21;19.6942;19.859058
"0691840101";Guericke;333.35062;-17.186514;333.76288;-16.972826;L;3;19.01;20.4942;20.335546
"0785110301";Capen;59.718533;22.09242;59.767693;22.10063;L;2;18.56;20.0442;19.884935
"0206060201";Alfredfowler;145.102;14.821389;145.21744;14.776098;L;2;19.17;20.6542;20.194166
"0804590601";"1993 FZ26";272.4475;-19.682598;272.51636;-19.69132;L;2;19.57;21.0542;20.007187
"0081341401";"1995 WK7";219.45918;-15.019992;219.50632;-15.042937;L;2;18.99;20.4742;19.529034
"0652330201";"1997 FN";73.92973;30.421991;74.00229;30.431;L;2;18.69;20.1742;19.30486
"0305970101";"1999 NQ41";270.95087;-27.765928;271.5013;-27.7238;L;3;19.42;20.9042;20.266512
"0201900101";Lansbergen;0.93933845;2.1667316;0.9952829;2.1914759;L;2;19.3;20.7842;19.895113
"0655020101";"1981 EM13";243.59425;-22.538496;243.71837;-22.552835;L;2;20.05;21.5342;19.753014
"0651450101";Loschmidt;268.32962;-27.779692;268.55115;-27.77536;L;3;19.29;20.7742;19.661053
"0784401201";Jepejacobsen;126.58924;26.702383;126.680244;26.69026;L;2;17.43;18.9142;20.241419
"0744500301";"1997 AR1";65.333824;19.578005;65.44968;19.598597;L;4;19.96;21.4442;20.455608
"0673002350";Ohshimaosamu;351.21304;-0.6048863;351.71848;-0.3993002;L;2;19.75;21.2342;19.959202
"0200730301";Schommer;20.24715;3.7326322;20.335382;3.7652805;L;4;19.31;20.7942;19.693102
"0654440101";Suiseki;329.41574;-7.7774515;329.63602;-7.6801634;L;2;18.06;19.5442;20.35927
"0505930301";"1991 RU8";125.30339;21.046452;125.39774;21.004927;L;2;19.71;21.1942;20.940767
"0801830101";"1993 VA2";245.44939;-23.087105;245.59093;-23.1473;L;2;18.65;20.1342;19.56996
"0690470201";"1994 GF";125.83985;22.749716;125.9215;22.72746;L;2;18.67;20.1542;20.043972
"0206990701";Oobayashiarata;257.32748;-23.668993;257.3839;-23.670527;L;2;19.59;21.0742;20.229713
"0653040101";"1997 AS7";117.79315;17.637045;117.97252;17.61648;L;2;18.76;20.2442;20.684793
"0811022401";"1998 QF11";83.652596;22.092146;83.692825;22.108118;L;2;17.8;19.2842;19.994263
"0803910401";Erneschiller;183.57365;2.61025;183.75514;2.573968;L;2;19.52;21.0042;20.166779
"0201902801";Tomjohnson;329.2989;-7.8247266;329.43503;-7.744803;L;2;17.59;19.0742;19.932707
"0555691001";"4290 T-1";262.2337;-31.775042;262.25482;-31.783102;L;2;17.89;19.3742;19.373182
"0300540101";"4054 T-3";91.58747;28.962542;91.65551;28.9826;L;2;19.33;20.8142;20.186436
"0727770501";"1988 XT1";329.2487;-30.297237;329.58374;-30.26509;L;2;18.72;20.2042;20.384308
"0727771001";"1988 XT1";329.81516;-30.247385;329.965;-30.228884;L;2;18.7;20.1842;20.21937
"0674370201";Zurich;136.79945;14.870546;137.15027;14.62544;L;2;17.63;19.1142;20.12579
"0742830101";Ducuroir;13.951445;-0.34430957;14.268314;-0.28216478;L;2;18.92;20.4042;20.210154
"0553650201";"1991 FL2";85.04745;35.45497;85.17725;35.494022;L;2;18.05;19.5342;20.147543
"0306700501";Chastellux;266.72375;-22.299744;266.7644;-22.298561;L;2;19.17;20.6542;19.17996
"0790381401";Papacosmas;238.79326;10.96414;239.41899;11.206574;L;3;18.42;19.9042;20.346474
"0803830201";Jeangodin;274.6196;-23.894241;274.67047;-23.900372;L;2;18.21;19.6942;20.40748
"0553510701";"1998 SZ114";114.56544;21.632896;114.67543;21.61111;L;2;19.36;20.8442;20.151148
"0505240101";Gmelin;274.699;-14.965101;274.84357;-14.899362;L;2;19.41;20.8942;20.186378
"0066950301";"1998 VH5";349.66782;0.3160671;349.70544;0.33903882;L;2;18.66;20.1442;19.40788
"0821730101";"1981 EA16";1.6200993;0.7392706;1.6861941;0.77682704;L;4;19.17;20.6542;20.059668
"0747440150";"1991 ST";27.260077;0.35899937;27.27413;0.35820472;L;4;16.78;18.2642;20.28414
"0013140101";Succi;213.13292;-3.2267416;213.1605;-3.2247512;L;2;19.31;20.7942;20.221931
"0164570401";"1998 QN30";229.01411;-16.056402;229.29297;-16.143436;L;2;19.08;20.5642;20.598778
"0303561001";Fredtreasure;192.5848;-23.538895;192.62386;-23.529533;L;2;16.43;17.9142;20.256231
"0306090301";"1991 EL4";310.96344;-10.552406;311.08173;-10.572346;L;2;17.64;19.1242;20.34464
"0694640901";"1996 BB2";266.1385;-29.415518;266.23633;-29.382048;L;2;20.17;21.6542;20.098526
"0821871101";"1997 GK21";21.04465;9.700466;21.127142;9.722453;L;4;20.15;21.6342;20.476728
"0824850201";Manzoni;67.21382;22.966099;67.282845;22.977673;L;2;19.36;20.8442;20.41662
"0673002347";"1981 EX26";351.8393;-0.87859577;352.49908;-0.5885451;L;3;18.71;20.1942;19.929981
"0148742501";"1988 BY3";132.60625;11.217371;132.69365;11.181503;L;2;18.89;20.3742;19.88424
"0721010501";"1989 ST10";262.0557;-14.185319;262.57587;-14.321637;L;2;17.51;18.9942;19.955685
"0801681001";"1991 SK2";267.35052;-30.198545;267.41754;-30.179098;L;2;18.58;20.0642;20.259472
"0653950201";"1993 SG1";82.5093;10.551114;82.715324;10.477222;L;4;18.01;19.4942;20.120651
"0604740101";Lijiang;321.491;-12.203263;321.77625;-12.126296;L;2;18.69;20.1742;21.07735
"0673002351";"1999 CS19";351.8851;-0.31364816;352.27682;-0.062261943;L;3;18.8;20.2842;20.044338
"0673002342";"1999 CS19";351.8851;-0.31364816;352.27682;-0.062261943;L;2;18.8;20.2842;19.918497
"0728980201";"2092 P-L";151.68614;12.846276;151.87323;12.768572;L;2;19.83;21.3142;20.190025
"0300540101";Alechinsky;91.84619;28.823654;91.97859;28.835842;L;2;18.51;19.9942;20.186436
"0147330101";Uwontario;351.17307;-11.98093;351.27444;-11.971677;L;4;19.54;21.0242;20.378063
"0827311201";Lestermackey;224.74753;-18.128313;224.80821;-18.135767;L;4;19.59;21.0742;20.055387
"0502430101";"2000 BJ4";197.67583;-5.848602;197.81082;-5.938553;L;2;18.39;19.8742;20.082464
"0694640601";Sparks;266.84915;-28.384398;266.948;-28.360945;L;2;18.46;19.9442;20.040825
"0554600401";"1976 UY";271.88776;-20.574234;272.02106;-20.545532;L;2;19.62;21.1042;19.621952
"0012440301";"1989 WS";331.2998;-2.04477;331.39383;-1.9753737;L;2;18.64;20.1242;19.444784
