target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err
Pobeda,0305540501,L,P0305540501OMS012FSIMAGL000.FTZ,20.360873775308416,0.13049324168726276,0.19148311765158163,0.02301411461970351,574.4493529547449,69.04234385911053,3325.8759647822008,19.91687355887004,2.93411453062787,2751.426611827456,34.48620819579394,138.1455078125,652.822265625,18.5662,5.0,7.000000000000002,0.0,0.0,20.360873775308416,0.13049324168726276
Pobeda,0305540501,L,P0305540501OMS016FSIMAGL000.FTZ,20.05215917017667,0.12159233890740025,0.25445813039991816,0.028496945140743506,763.3743911997544,85.49083542223052,5005.0412020701915,19.977126575651624,2.875181770079904,4241.666810870437,41.8954704002078,212.326171875,679.5654296875,18.5662,8.0,7.0,0.0,0.0,20.05215917017667,0.12159233890740025
Pobeda,0305540501,L,P0305540501OMS006FSIMAGL000.FTZ,21.02261983512225,0.21047820966819972,0.10409552645757246,0.020179712235072398,312.28657937271737,60.539136705217196,2436.804241074249,21.270726415346253,3.092733013321531,2124.517661701532,30.90875003250279,99.8798828125,349.740234375,18.5662,5.0,5.0,0.0,0.0,21.02261983512225,0.21047820966819972
Pobeda,0305540501,L,P0305540501OMS011FSIMAGL000.FTZ,20.451122283564988,0.14029926018933786,0.17621021722580993,0.02276995799585134,528.6306516774298,68.30987398755401,3371.502354759723,19.993411014582584,2.809532614849347,2842.871703082293,33.50188637477979,142.1904296875,925.9169921875,18.5662,5.0,9.0,0.0,0.0,20.451122283564988,0.14029926018933786
Pobeda,0305540501,L,P0305540501OMS015FSIMAGL000.FTZ,20.560760641647963,0.14098420253969823,0.15928531669803442,0.02068340126048658,477.85595009410326,62.05020378145974,2810.3735164348036,20.085420822362465,2.8031346437980735,2332.5175663407003,30.207581282123087,116.1298828125,832.0615234375,18.5662,5.0,9.000000000000002,0.0,-0.01657994795115845,20.544180693696806,0.18844172327609593
Pobeda,0305540501,L,P0305540501OMS014FSIMAGL000.FTZ,20.440178899873658,0.13142479597705914,0.17799526115417652,0.021545744897535874,533.9857834625295,64.63723469260762,2986.802791044116,20.04424825240046,2.8468547995901305,2452.8170075815865,31.49220029915401,122.3701171875,608.6015625,18.5662,5.0,6.999999999999998,0.0,-0.038024832005157945,20.4021540678685,0.13618849249350468
Pobeda,0305540501,L,P0305540501OMS010FSIMAGL000.FTZ,20.373654868921466,0.1433577756933894,0.18924222798180168,0.02498705474510598,567.7266839454051,74.96116423531794,4010.4511584835127,19.904523450718028,2.848421376756331,3442.7244745381076,37.46100960098538,172.9619140625,1181.7177734375,18.5662,7.0,11.0,0.0,0.0,20.373654868921466,0.1433577756933894
Pobeda,0305540501,L,P0305540501OMS007FSIMAGL000.FTZ,20.548646382868448,0.14073183538585465,0.16107251759828234,0.020878032073935696,483.21755279484705,62.63409622180709,2795.7832778086886,20.668633119619575,2.9455278558323474,2312.5657250138415,31.15690415598789,111.8876953125,694.0537109375,18.5662,5.0,8.0,0.0,0.0,20.548646382868448,0.14073183538585465
Pobeda,0305540501,L,P0305540501OMS017FSIMAGL000.FTZ,20.564126218130177,0.1599520839916386,0.15879232688390282,0.02339349861012415,476.37698065170844,70.18049583037245,3449.768065381795,20.569177306290214,2.9213690954989575,2973.3910847300867,35.124001514541945,144.5556640625,737.4248046875,18.5662,6.0,8.0,0.0,-0.026149931143004734,20.53797628698717,0.16332974439661038
Pobeda,0305540501,L,P0305540501OMS013FSIMAGL000.FTZ,20.651188871925214,0.16953474205565203,0.1465562861924612,0.02288436800131268,439.6688585773836,68.65310400393804,3181.3749066945165,20.105032821586228,3.0899082118119905,2741.706048117133,36.08308242402296,136.369140625,772.34765625,18.5662,5.0,8.0,0.0,-0.07644631255764324,20.57474255936757,0.19563514839763707
Pobeda,0305540501,L,P0305540501OMS019FSIMAGL000.FTZ,20.130914435917813,0.14888003683636483,0.23665420498958822,0.032450878258002434,709.9626149687647,97.35263477400731,6396.040348412469,20.88827359234845,2.85184561141802,5686.077733443704,47.05232990288208,272.2138671875,694.650390625,18.5662,7.0,6.0,0.0,-0.09004855487633674,20.040865881041476,0.21572233237572017
