sso_name,observation_id,n,x_type,ra1,dec_1,ra2,dec2
Nantong,0552860101,2,2.0,163.64049304166667,-5.670915611111111,163.65151495833334,-5.753722777777778
Naruke,0503490201,2,2.0,340.5789012916666,-9.697185722222223,340.8058129583333,-9.601553055555556
Chopin,0723802101,2,2.0,10.146284333333337,-9.472527611111108,10.456928833333334,-9.431453805555552
Chrisclark,0670120301,2,2.0,343.5239664583333,-17.824841722222224,343.55606154166685,-17.647393
Nishimura,0112370801,2,2.0,34.777752,-5.215212527777779,34.917594083333334,-5.2349062222222225
1030 T-1,0110980601,2,2.0,199.89258420833332,-14.855863527777782,200.10112174999998,-14.91287866666667
Chrisclark,0670120401,2,2.0,343.5880024583332,-17.584646277777775,343.6382115416666,-17.39761188888889
1993 UB3,0206060101,2,2.0,358.6213642916666,5.807185972222222,358.73996708333334,5.873919833333334
2001 FV5,0744440301,2,3.0,191.39912920833333,2.555875666666666,191.87834712499998,2.3213740833333327
1981 ET34,0203850201,2,2.0,278.7704482916667,-7.654013611111112,278.8745769166666,-7.677327027777778
Papacosmas,0790381401,2,3.0,238.79326299999997,10.964140194444441,239.4189842083333,11.206574888888891
1994 CG2,0672990201,2,2.0,318.0854781666667,-30.82999663888889,318.24834599999997,-30.795966777777778
2000 RX67,0693820201,2,2.0,197.61901104166665,-1.358278027777778,197.819275,-1.4117828055555555
2000 SG172,0153950901,2,2.0,245.65090158333336,-15.715482777777778,245.68786495833336,-15.722289305555556
2008 CB137,0791580601,2,3.5,284.30682837499995,-37.99349288888889,284.331319125,-38.00343405555555
Pluto,0793183501,2,2.0,290.4538513333334,-21.19250027777778,290.4627144583333,-21.192162222222223
Pluto,0793183801,2,2.0,290.59760941666667,-21.20850227777778,290.594172375,-21.21058641666667
2000 SG234,0743630501,2,2.0,266.16083095833335,-28.99608152777778,266.44603725,-29.018656055555553
2000 SL1,0743050301,2,3.0,13.221124916666668,12.732472444444447,14.08068716666667,12.77018519444445
Potomac,0674480401,2,2.0,211.062294375,-1.794742861111111,211.08227333333332,-1.7920686666666665
1999 XN105,0500760101,2,2.0,168.21321145833332,13.483866805555556,168.29614237500002,13.483107222222221
Puntel,0202680101,2,3.0,263.1458409166667,-26.117144916666668,263.7103744583333,-26.164031916666666
1999 RU128,0782650101,2,2.0,148.47711841666666,1.6109096111111112,148.570226375,1.5731290277777779
1999 XQ57,0504780501,2,4.0,193.28526333333335,-9.254789083333334,193.5174435,-9.269204777777778
1999 XT90,0811212701,2,4.0,197.299954,-23.569131444444444,197.4071665,-23.709038055555556
Flagstaff,0804250301,2,2.0,266.6556002083334,-29.832101277777777,266.752753875,-29.849316555555557
1981 FT,0723800701,2,4.0,181.07764425000002,1.7639948611111114,181.45999445833334,1.5569856111111104
1994 UF2,0106660601,2,3.0,333.6775958333333,-17.729109388888887,333.97567729166667,-17.536523722222224
Fredtreasure,0303561001,2,2.0,192.58479933333334,-23.538894694444448,192.62384833333334,-23.529533999999998
2002 VU94,0800400601,2,2.0,132.693046,-0.0530325,132.63905170833334,0.059902194444444445
1994 YO1,0300480301,2,4.0,133.53448433333335,20.169092694444444,133.6593826666667,20.11736763888889
1999 SG12,0650510301,2,2.0,23.21132145833333,30.933496444444444,23.554114083333335,31.112164888888888
1992 AJ1,0202680101,2,2.0,263.40187845833333,-26.09088186111111,263.9406959583333,-26.11426952777778
1998 MM7,0112370801,2,3.0,34.62013279166668,-5.173004722222221,34.83978116666667,-5.204971638888891
2000 VR36,0821250601,2,2.0,35.834772916666665,-3.512480722222222,36.04166495833333,-3.298254861111111
Sakaguchi,0748190101,2,2.0,29.18563941666667,5.722863277777777,29.43170237499999,5.840380583333334
Grotius,0653840401,2,4.0,24.866715874999997,6.247936944444445,24.930931333333334,6.264996833333334
1988 XT1,0727770501,2,2.0,329.2486847083334,-30.29723658333334,329.58375266666656,-30.265090888888885
Sarpedon,0800400501,2,2.0,137.51436366666664,-0.7671195000000001,137.53622954166664,-0.744149
Gurzhij,0744490401,2,2.0,338.88007366666665,-12.779611888888892,339.32846950000004,-12.523151
1990 QT9,0742570101,2,2.0,130.41614845833334,19.432548194444447,130.51274704166664,19.40390586111111
2000 WU93,0656200101,2,2.0,137.27667641666667,14.62784538888889,137.32967475,14.615741972222223
Seeligeria,0303670101,2,2.0,215.06902354166675,6.657949111111109,215.1105740833333,6.594687777777778
1998 EC9,0748391301,2,2.0,266.4610221666667,-20.213444388888888,267.1787075833334,-20.265429555555556
1986 RP5,0601670101,2,4.0,19.759445499999998,3.5503157777777776,19.949611750000003,3.669347333333333
2000 JZ79,0673310101,2,3.0,186.38215916666664,13.117937527777778,186.44361695833334,12.829255027777778
Silentium,0763100101,2,2.0,272.77178220833326,-26.247626694444445,273.21450316666665,-26.20041813888889
1989 ST10,0721010501,2,2.0,262.055705625,-14.185318999999994,262.5758777916666,-14.32163672222222
1998 YB12,0203170301,2,2.0,187.924908,0.3078198611111111,188.231275375,0.1890703333333333
2003 UB66,0748190101,2,2.0,28.871743250000005,5.3446988611111115,28.984898708333333,5.475060194444445
1996 YP,0673550201,2,2.0,265.89743895833334,-29.70555036111111,266.15315683333336,-29.735100250000002
Stepanov,0081340801,2,2.0,183.35270033333333,2.7053835000000004,183.433249,2.687358
Africa,0206490301,2,4.0,337.1189521249999,-24.690793638888888,337.21611154166663,-24.680501694444445
Ibuki,0502120101,2,3.0,184.58986558333334,5.767884055555555,185.0411174583333,5.664890611111112
Ivanka,0692330401,2,2.0,112.18932854166667,33.89455738888889,112.34964945833333,33.93021694444444
Tampere,0740920301,2,2.0,189.99166920833335,-5.242599694444444,190.04404170833334,-5.266937222222222
Aimeemcarthy,0800380101,2,4.0,334.2823285416667,-3.633520861111111,334.55001158333334,-3.6288969166666667
The,0501270301,2,2.0,98.40760025,17.725703055555552,98.44330770833334,17.72696461111111
2000 NA6,0604740101,2,4.0,321.2284946666666,-12.198733194444445,321.652397625,-12.007057166666666
Joan,0601391001,2,2.0,311.1092784166667,-10.799757972222217,311.30628579166665,-10.784494777777779
Joannehsieh,0802560101,2,4.0,184.87996666666675,2.0475236944444437,184.99066754166674,2.0076375000000004
1999 AD32,0312790101,2,2.0,83.452202625,21.927562666666663,83.58099579166664,21.99086488888889
Transvaalia,0821871601,2,2.0,342.0188032916667,-22.21520347222222,342.12316641666666,-22.201730527777777
2000 AV91,0673310101,2,4.0,186.10319166666667,13.034560527777778,186.2139895,12.898149138888888
