target_name,rocks_number,taxonomy_class,taxonomy_family,n_frames,uvw1_minus_vpred,uvw1_minus_vpred_err_phot,solar_uvw1_ab_minus_v,delta_uv_solar,reflectance_uv_v,reflectance_err_phot,reflectance_err_external_lo,reflectance_err_external_hi,pv,puvw1_proxy,puvw1_proxy_err_phot,diameter_km,snr_raw_median,snr_raw_min,snr_raw_max
Pobeda,1908,S,S,18,3.722393981371824,0.040642143931756816,2.8466,0.8757939813718232,0.4463570590545113,0.01670839358542934,0.12868062743047348,0.18080506043058076,0.1827,0.08154943468925921,0.0030526235080579403,16.543,6.346766627625087,3.4839868499094746,9.267881022765184
Potomac,1345,X,X,1,3.1807715083604826,0.08764389197227838,2.8466,0.3341715083604826,0.7350745668183064,0.05933742988716579,0.21579245792578627,0.3054669991823008,0.0471,0.03462201209714223,0.002794792947685509,66.229,13.558364040661155,13.558364040661155,13.558364040661155
Richardbaum,7966,V,V,1,3.16722407147347,0.3085621250072043,2.8466,0.32062407147346983,0.7443040316192896,0.2115283921097942,0.2657191326242861,0.4132512791480737,0.2556,0.1902441104818904,0.0540666570232634,3.8,3.54287399211994,3.54287399211994,3.54287399211994
Sarpedon,2223,Z,OTHER,1,2.663998480541011,0.07207114521802471,2.8466,-0.18260151945898917,1.183152178686135,0.07853761540917455,0.34478024517943495,0.48657103362910714,0.066,0.0780880437932849,0.00518348261700552,77.912,17.292876665726116,17.292876665726116,17.292876665726116
Seeligeria,892,P,OTHER,1,2.933822374170843,0.04821838307679921,2.8466,0.08722237417084289,0.9228073614504322,0.04098258735916404,0.2665874033065264,0.3748877418130421,0.0301,0.027776501579658008,0.0012335758795108374,82.783,33.91606550292535,33.91606550292535,33.91606550292535
Solvejg,1331,C,C,3,3.235788305681251,0.03792214214167351,2.8466,0.3891883056812504,0.6987545964632793,0.02440580963691014,0.2013118999692164,0.28278154733733185,0.0852,0.0595338916186714,0.002079374981064744,33.748,23.7624489673173,11.73986818286418,23.945828344553238
Tampere,1497,X,X,1,3.591344685203719,0.3316697777201485,2.8466,0.744744685203719,0.5036190226996967,0.15384511318903418,0.18429177882711179,0.2906511966186388,0.1729,0.08707572902477756,0.02659982007038401,16.243,3.293051040125256,3.293051040125256,3.293051040125256
The,5408,,UNK,1,3.8546280354234206,0.35386221315945965,2.8466,1.0080280354234206,0.39517438477001227,0.12879489673994626,0.1480791879725059,0.2368200708176153,0.2874,0.11357311818290151,0.03701565332306055,4.21,3.084351896803949,3.084351896803949,3.084351896803949
Tinette,687,P,OTHER,2,2.861066863470584,0.11182959979591509,2.8466,0.014466863470583124,0.9867639041665232,0.10163556489357344,0.29373822741098277,0.4182388759965928,0.0821,0.08101331653207156,0.00834427987776238,21.899,7.044703693289229,6.876579706266174,7.212827680312284
Transvaalia,715,S,S,1,2.713803543449705,0.04246368864191461,2.8466,-0.13279645655029482,1.130104443695388,0.04419895276552512,0.32595049565312295,0.45806913521855663,0.1998,0.22579486785033853,0.00883095076255192,29.186,50.57713297503848,50.57713297503848,50.57713297503848
Weisell,2802,S,S,1,4.41014152312016,0.14236035377318554,2.8466,1.56354152312016,0.23690999891946857,0.031063338507804353,0.0720459900662154,0.10353027047845154,0.1808,0.042833327804639915,0.005616251602211027,18.154,7.876413336215795,7.876413336215795,7.876413336215795
Wells,1721,B,B,1,2.968610018987402,0.08914234936862227,2.8466,0.12201001898740182,0.8937087138214821,0.0733762897950006,0.2625659518071476,0.371797782064321,0.0312,0.02788371187123024,0.002289340241604019,43.88,13.282175189687758,13.282175189687758,13.282175189687758
