"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type"
"0136550101";"2001 FU69";187.17274;1.8725678;187.30363;1.7538604;V;4
"0136550101";"2001 FC108";187.21492;2.083506;187.36003;2.0194578;V;2
"0744440501";"1998 SU134";191.53178;2.2843082;191.78084;2.201478;V;2
"0202460101";"1999 XX25";205.65816;0.1444784;205.73325;0.13221617;V;4
"0800050101";"1999 XT89";200.0838;-2.4072487;200.26468;-2.4331448;V;2
"0653040201";"2000 AY125";117.77054;17.80274;117.989586;17.746426;V;2
"0743950601";"2000 CN19";146.22408;10.021017;146.42366;9.938123;V;2
"0804910101";"2000 EX139";271.02304;-34.36263;271.4241;-34.3383;V;2
"0744490401";"2000 GX12";338.8091;-12.854077;339.194;-12.550207;V;2
"0795712201";"2000 GF95";267.2006;-20.312727;267.54703;-20.325506;V;2
"0502050101";"2000 KO61";183.4649;14.076695;183.69485;14.050979;V;2
"0106660201";"2000 NU10";333.59204;-17.833027;333.80682;-17.72766;V;2
"0762250301";"2000 OF7";265.72955;-28.97678;266.3007;-28.880594;V;4
"0810840101";"2001 AH46";284.08618;-38.090523;284.49405;-37.943512;V;3
"0092850201";"2001 QL46";324.134;-14.61483;324.33395;-14.529537;V;2
"0555870201";"2001 QZ107";151.84196;12.476372;152.02167;12.404297;V;2
"0502630201";"2002 XN20";133.58372;20.077759;133.68791;20.040565;V;4
"0601390801";"1999 RM2";310.8975;-10.656889;311.0482;-10.629952;V;4
"0691840101";"2000 EY120";333.47684;-17.224876;333.8687;-17.066404;V;3
"0744440101";"2000 FA44";191.63107;2.5114949;192.12657;2.372079;V;2
"0106660101";"2000 OK18";333.75684;-17.771097;334.01135;-17.661503;V;4
"0743950201";"2000 SW47";146.4921;10.037774;146.67552;9.933944;V;2
"0109880101";"2001 QF248";63.326572;10.249686;63.630547;10.411227;V;3
"0404840201";"2001 YC136";157.35728;-2.9788;157.52904;-3.0290394;V;2
"0653040201";"1999 RL65";117.55778;17.559166;117.694214;17.54247;V;4
"0148690101";"1999 TA19";257.04645;-40.12765;257.12094;-40.108795;V;2
"0721010401";"1999 XJ41";262.05612;-14.234392;262.28854;-14.280805;V;2
"0203160201";"1999 XN87";46.212353;0.043734055;46.268105;0.050351724;V;2
"0653550301";"2000 LH36";275.46225;-27.560379;275.95526;-27.54425;V;2
"0414191201";"2000 QP194";187.12756;2.101613;187.30383;2.0473404;V;2
"0691840101";"2000 ST39";333.33588;-17.070604;333.74112;-16.873684;V;3
"0693970401";"2000 WE77";36.56205;20.554926;36.629242;20.604061;V;2
"0410780701";"2001 CS27";58.181637;-0.22983485;58.27159;-0.24659602;V;4
"0741280201";"2001 QY60";1.5643882;20.241585;2.0786874;20.409698;V;2
"0670120401";"2001 WJ12";343.53955;-17.588371;343.8644;-17.309635;V;2
"0744440201";"2002 AF27";191.55737;2.2989676;192.01648;2.2575102;V;2
"0691230101";"2000 FU";74.62797;52.81942;74.804146;52.717545;V;2
"0802560101";"2000 VO49";185.18202;2.0085225;185.24368;1.9446824;V;2
"0744490401";"2002 GD3";338.7245;-12.721314;339.13736;-12.502636;V;2
"0203170301";"1999 RO190";188.06718;-0.01716675;188.3407;-0.15492134;V;4
