target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,rate_bkg_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
An-Eefje,0103261901,V,P0103261901OMS401SIMAGE1000.FTZ,17.151625166315057,0.11681597466099379,17.151625166315057,0.11681597466099379,1.6239322934836582,0.1730083370827814,1948.7187521803899,207.6100044993377,23777.36741611734,55.87281997463246,5.575139612730357,21828.64866393695,110.1967731033911,390.6845703125,660.6416015625,17.923,13.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.2530892815380035,18.190540553280794,19.814472846764453,22.445198502918746,20.410266352010947,2.0349321509077996,2.0349321509077996,18.0,18.0474,19.05685
Gurzhij,0744490401,V,P0744490401OMS411SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 FV5,0744440301,V,P0744440301OMS402SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 FV5,0744440301,V,P0744440301OMS401SIMAGE2000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991 SG1,0164561401,V,P0164561401OMS401SIMAGE1000.FTZ,18.549284699423186,0.2727058471772646,18.549284699423186,0.2727058471772646,0.48631391777188515,0.12180240893980003,632.2080931034507,158.34313162174004,15270.65834056586,57.57414099694844,5.1115251609437475,14638.45024746241,81.50501278620126,254.25390625,534.701171875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1549665899589194,11.260346344201853,11.746660261973737,12.74050527218322,12.178828944924664,0.5616763272585565,0.5616763272585565,18.29,18.3374,19.130653
#1998 YU27,0745130201,V,P0745130201OMS006FSIMAGV000.FTZ,18.144305468167964,0.09541873828074095,18.144305468167964,0.09541873828074095,0.4744148306067993,0.041510355390983786,1186.0370765169982,103.77588847745946,7272.719699580222,21.593926606325432,3.1233664756947768,6086.682623063224,52.438162198497956,281.8701171875,1037.6474609375,17.923,4.0,6.0,0.0,1.0,1.0,1.0,0.0,1.4016301605728412,0.44710403245816877,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_1998_YU27_P0745130201OMS006FSIMAGV000.csv,1.2265524423479472,15.216706557658059,15.881660692859604,17.7410673672576,16.925466248676777,0.8156011185808225,0.8156011185808225,18.34,18.3874,19.993279
1991 SC1,0780670101,V,P0780670101OMS007SIMAGE1000.FTZ,18.634454052382345,0.1655531813220992,18.634454052382345,0.1655531813220992,0.4744782431723072,0.07221953295398963,1584.757332195506,241.21324006632537,30408.588180467486,87.68955527353742,7.396034795269997,28823.83084827198,134.09138055966312,328.703125,603.41015625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0944654996813266,8.629889475530533,9.10436771870284,9.649314515135023,9.130014447633526,0.5193000675014972,0.5193000675014972,18.52,18.5674,20.266552
2000 RD50,0723800701,V,P0723800701OMS006FSIMAGV000.FTZ,18.64821302623566,0.24201384389270378,18.64821302623566,0.24201384389270378,0.4038495277878501,0.08977174204639085,1615.3981111514004,359.0869681855634,73201.8678842131,32.75863080434889,3.9837946943306473,71586.4697730617,186.22996050774177,2185.2705078125,3598.705078125,17.923,25.0,13.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.2696827231761574,17.896617443265427,18.30046697105328,20.77035226056747,20.257591492372388,0.5127607681950828,0.5127607681950828,18.52,18.5674,19.794107
Setsuko,0744490501,V,P0744490501OMS403SIMAGE2000.FTZ,19.311830328444227,0.4542526842755193,19.311830328444227,0.4542526842755193,0.244575250344102,0.10219105760586358,435.34394561250156,181.90008253843718,19177.04734992236,54.809223123776015,5.1141145992272365,18741.703404309857,94.56886197151958,341.9443359375,615.6435546875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.137772314621493,10.529046856353853,10.773622106697955,11.595979038628998,11.317708089945858,0.27827094868314006,0.27827094868314006,18.59,18.6374,19.383263
Scottobin,0202460101,V,P0202460101OMS402SIMAGE1000.FTZ,18.51686913026092,0.13941565729831534,18.51686913026092,0.13941565729831534,0.5473425590241666,0.0701423383980728,766.2795826338333,98.19927375730191,6367.661067796871,29.18454960316151,3.488619651785899,5601.381485163038,48.33087980163966,191.9296875,477.162109375,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0572875775426915,4.000986775116456,4.548329334140623,4.739101619849037,4.160403131532358,0.5786984883166788,0.5786984883166788,18.72,18.7674,19.555307
1988 RQ5,0743950401,V,P0743950401OMS007FSIMAGV000.FTZ,19.019647854471565,0.2205105146185192,19.019647854471565,0.2205105146185192,0.3198856527729571,0.06484174572114386,1599.4282638647855,324.2087286057193,49541.513698883355,129.83192194501558,9.771186327958434,47942.08543501857,187.76516043081853,369.2626953125,640.869140625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1385342407003733,9.588417087003714,9.908302739776671,10.661280721263369,10.297079952472567,0.364200768790802,0.364200768790802,18.75,18.7974,20.105297
1991 SC1,0780670101,V,P0780670101OMS006SIMAGE1000.FTZ,18.842867130246102,0.11186869921749594,18.842867130246102,0.11186869921749594,0.32458649599909034,0.03339364621285816,1213.9534950365978,124.89223683608951,9898.287251450121,96.40368330605938,7.284237917807343,8684.333756413524,69.13620895414931,90.0830078125,468.0380859375,17.923,4.0,5.999999999999998,0.0,1.0,1.0,1.0,0.0,1.2159853702641574,0.0355026399737107,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_1991_SC1_P0780670101OMS006SIMAGE1000.csv,1.0859112949454974,7.546546713460949,7.941239143981148,8.380624363346206,7.95202339501483,0.4286009683313754,0.4286009683313754,18.52,18.5674,20.266552
Seeligeria,0303670101,V,P0303670101OMS404SIMAGE1000.FTZ,15.620502563281347,0.015849211064625057,15.620502563281347,0.015849211064625057,7.752406402032481,0.1100497339862871,7752.40640203248,110.04973398628711,10534.330935100093,17.12334306222679,2.670210078150456,2781.924533067613,34.03484868107396,162.4638671875,449.962890625,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.075381208331669,2.7819245330676132,10.534330935100094,11.218757456922269,2.8819652928264126,8.336792164095856,8.336792164095856,15.63,15.6774,19.47694
Chrisclark,0670120401,V,P0670120401OMS006SIMAGE1000.FTZ,18.570612074138683,0.13294706919389884,18.570612074138683,0.13294706919389884,0.5160793934312058,0.06308403134831227,1238.590544234894,151.40167523594945,14298.852437272668,54.89689952782333,4.986379815881848,13060.261893037774,76.91081090026758,237.9052734375,519.607421875,17.923,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0671823942655505,5.441775788765739,5.957855182196944,6.242885194786563,5.692134352073536,0.5507508427130272,0.5507508427130272,18.13,18.1774,19.782831
Pluto,0793183801,V,P0793183801OMS050SIMAGE0000.FTZ,14.616781778870223,0.009588493977882575,14.616781778870223,0.009588493977882575,18.33598634507835,0.15044754588880635,22003.18361409402,180.53705506656763,28103.895823743194,42.79266027345603,4.864063636093179,6100.712209649172,58.07709358581024,142.564453125,430.578125,17.923,12.0,6.000000000000001,0.0,1.0,1.0,1.0,0.0,0.9997568066497153,0.0017259058666436772,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Pluto_P0793183801OMS050SIMAGE0000.csv,1.1462745283791043,5.507587411488836,23.839114566617152,26.772292270399472,5.759329626186021,21.012962644213452,21.012962644213452,14.66,14.7074,19.166199
1998 YU27,0745130201,V,P0745130201OMS006FSIMAGV000.FTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
